PV_capacity_AC_MW,PV_capacity_DC_MW,COE,ITC,DF,GRANT,aspect_ratio,LCOE_[$/kWh_e],TES_to_load_MWh_e,TES_thermal_loss_MWh_t,ASGARD_PV_curtailed_MWh_e,PV_System_energy_MWh_AC,load_annual_MWh,fuel_to_load_annual_MWh_th,system_to_load_annual_MWh_th
0.005,0.006,0.065,0.5,1.0,0.25,1-1.5,0.09581357964882198,0,2.1516996403057225,6.314694328874288,8.716901864133876,[360],[360],[0]
0.031,0.0372,0.065,0.5,1.0,0.25,1-1.5,0.1011724173601794,0,2.2161934440319717,51.5766800886107,54.04479155763002,[360],[360],[0]
0.057,0.0684,0.065,0.5,1.0,0.25,1-1.5,0.10657341726905975,0,2.2207242207954057,96.89994654051152,99.37268125112618,[360],[360],[0]
0.083,0.09960000000000001,0.065,0.5,1.0,0.25,1-1.5,0.11193225498041715,0,2.2215550620571305,142.22698843680183,144.70057094462234,[360],[360],[0]
0.109,0.1308,0.065,0.5,1.0,0.25,1-1.5,0.11733325488929748,0,2.221804420371577,187.5546236830383,190.0284606381185,[360],[360],[0]
0.135,0.162,0.065,0.5,1.0,0.25,1-1.5,0.12273425479817782,0,2.221968529975891,232.88234591775458,235.35635033161464,[360],[360],[0]
0.161,0.1932,0.065,0.5,1.0,0.25,1-1.5,0.12809309250953524,0,2.2221019904949646,278.21009942704757,280.68424002511074,[360],[360],[0]
0.187,0.2244,0.065,0.5,1.0,0.25,1-1.5,0.13349409241841556,0,2.2221736055641523,323.53791604394246,326.01212971860696,[360],[360],[0]
0.213,0.2556,0.065,0.5,1.0,0.25,1-1.5,0.13885293012977298,0,2.2222352357848956,368.8657428494583,371.3400194121031,[360],[360],[0]
0.239,0.2868,0.065,0.5,1.0,0.25,1-1.5,0.1442539300386533,0,2.2222888870795976,414.1935777967354,416.6679091055993,[360],[360],[0]
0.266,0.3192,0.065,0.5,1.0,0.25,1-1.5,0.1498172552697736,0,2.2223372988081165,461.26479846333535,463.7391791719222,[360],[360],[0]
0.292,0.3504,0.065,0.5,1.0,0.25,1-1.5,0.15521825517865395,0,2.222380314294262,506.59264426347823,509.0670688654183,[360],[360],[0]
0.318,0.3816,0.065,0.5,1.0,0.25,1-1.5,0.1606192550875343,0,2.2224211715656796,551.9204922658811,554.3949585589146,[360],[360],[0]
0.344,0.41279999999999994,0.065,0.5,1.0,0.25,1-1.5,0.16597809279889167,0,2.222460685847852,597.2483416386812,599.7228482524106,[360],[360],[0]
0.37,0.444,0.065,0.5,1.0,0.25,1-1.5,0.17137909270777202,0,2.2224988214028656,642.5761924183456,645.0507379459067,[360],[360],[0]
0.396,0.4752,0.065,0.5,1.0,0.25,1-1.5,0.1767379304191294,0,2.2225357603565765,687.904044419032,690.3786276394029,[360],[360],[0]
0.422,0.5064,0.065,0.5,1.0,0.25,1-1.5,0.1821389303280098,0,2.2225722934359156,733.2318968338757,735.7065173328991,[360],[360],[0]
0.448,0.5376,0.065,0.5,1.0,0.25,1-1.5,0.18749776803936719,0,2.222592586449648,778.559765820215,781.0344070263952,[360],[360],[0]
0.474,0.5688,0.065,0.5,1.0,0.25,1-1.5,0.1928987679482475,0,2.2226111795897525,823.8876365411192,826.3622967198913,[360],[360],[0]
0.5,0.6,0.065,0.5,1.0,0.25,1-1.5,0.19825760565960496,0,2.2226225163817896,869.2155146664602,871.6901864133874,[360],[360],[0]
