COE,ITC,DF,GRANT,LCOE_[$/kWh_e],aspect_ratio,rR
0.065,0.0,0.0,0.0,0.12739338283572732,1-1.5,0.914
0.065,0.3,0.0,0.0,0.1180547090146936,1-1.5,0.914
0.065,0.5,0.0,0.0,0.11182892646733777,1-1.5,0.914
0.065,0.0,0.0,0.1,0.12393673092027932,1-1.5,0.914
0.065,0.3,0.0,0.1,0.11553192448134898,1-1.5,0.914
0.065,0.5,0.0,0.1,0.10992872018872873,1-1.5,0.914
0.065,0.0,0.0,0.25,0.11875175304710732,1-1.5,0.914
0.065,0.3,0.0,0.25,0.111747747681332,1-1.5,0.914
0.065,0.5,0.0,0.25,0.10707841077081513,1-1.5,0.914
0.065,0.0,0.5,0.0,0.12631666069585878,1-1.5,0.914
0.065,0.3,0.5,0.0,0.11725781804544355,1-1.5,0.914
0.065,0.5,0.5,0.0,0.11121858961183341,1-1.5,0.914
0.065,0.0,0.5,0.1,0.12294598525017417,1-1.5,0.914
0.065,0.3,0.5,0.1,0.11479302686480046,1-1.5,0.914
0.065,0.5,0.5,0.1,0.10935772127455132,1-1.5,0.914
0.065,0.0,0.5,0.25,0.11788997208164721,1-1.5,0.914
0.065,0.3,0.5,0.25,0.11109584009383576,1-1.5,0.914
0.065,0.5,0.5,0.25,0.10656641876862814,1-1.5,0.914
0.065,0.0,1.0,0.0,0.12525487844904962,1-1.5,0.914
0.065,0.3,1.0,0.0,0.11647132951755619,1-1.5,0.914
0.065,0.5,1.0,0.0,0.11061563022989386,1-1.5,0.914
0.065,0.0,1.0,0.1,0.12196868809360194,1-1.5,0.914
0.065,0.3,1.0,0.1,0.11406349405525786,1-1.5,0.914
0.065,0.5,1.0,0.1,0.10879336469636176,1-1.5,0.914
0.065,0.0,1.0,0.25,0.11703940256043044,1-1.5,0.914
0.065,0.3,1.0,0.25,0.11045174086181035,1-1.5,0.914
0.065,0.5,1.0,0.25,0.10605996639606362,1-1.5,0.914
0.13,0.0,0.0,0.0,0.15637541571924748,1-1.5,0.914
0.13,0.3,0.0,0.0,0.1393643953754727,1-1.5,0.914
0.13,0.5,0.0,0.0,0.12802371514628952,1-1.5,0.914
0.13,0.0,0.0,0.1,0.15053061184111732,1-1.5,0.914
0.13,0.3,0.0,0.1,0.13522069353172,1-1.5,0.914
0.13,0.5,0.0,0.1,0.12501408132545513,1-1.5,0.914
0.13,0.0,0.0,0.25,0.14176340602392207,1-1.5,0.914
0.13,0.3,0.0,0.25,0.12900514076609101,1-1.5,0.914
0.13,0.5,0.0,0.25,0.12049963059420361,1-1.5,0.914
0.13,0.0,0.5,0.0,0.13979327534809036,1-1.5,0.914
0.13,0.3,0.5,0.0,0.1271962005821689,1-1.5,0.914
0.13,0.5,0.5,0.0,0.11879815073822127,1-1.5,0.914
0.13,0.0,0.5,0.1,0.13532898902387305,1-1.5,0.914
0.13,0.3,0.5,0.1,0.12399162173454377,1-1.5,0.914
0.13,0.5,0.5,0.1,0.1164333768749909,1-1.5,0.914
0.13,0.0,0.5,0.25,0.12863255953754713,1-1.5,0.914
0.13,0.3,0.5,0.25,0.11918475346310603,1-1.5,0.914
0.13,0.5,0.5,0.25,0.11288621608014529,1-1.5,0.914
