Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units
NSRDB,1436518,-,-,-,46.69,-68.02,-5,148,-5,w/m2,c,w/m2,w/m2,w/m2,c
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,GHI,,
2008,1,1,0,30,0,0,-17.2,0.8,0.6,56.42,-15.9,995,0,,
2008,1,1,1,30,0,0,-18.2,0.8,0.6,56.86,-16.6,996,0,,
2008,1,1,2,30,0,0,-18.9,0.8,0.7,53.43,-17.1,996,0,,
2008,1,1,3,30,0,0,-19.2,0.8,0.7,53.79,-17.3,997,0,,
2008,1,1,4,30,0,0,-19.2,0.8,0.7,49.96,-17,998,0,,
2008,1,1,5,30,0,0,-18.6,0.8,0.7,49.7,-16.1,999,0,,
2008,1,1,6,30,0,0,-17.3,0.8,0.6,46.09,-15.1,999,0,,
2008,1,1,7,30,8,0,-16.5,0.8,0.6,44.56,-13.9,999,8,,
2008,1,1,8,30,48,554,-15,0.8,0.5,42.45,-11.7,999,133,,
2008,1,1,9,30,52,0,-11.8,0.8,0.6,30.68,-9.2,998,52,,
2008,1,1,10,30,79,772,-9.6,0.8,0.7,23.73,-7.4,998,328,,
2008,1,1,11,30,88,776,-8.1,0.8,0.7,21.37,-6.2,997,357,,
2008,1,1,12,30,85,761,-7.1,0.8,0.6,20.24,-5.6,997,336,,
2008,1,1,13,30,103,233,-6.8,0.8,0.6,20.91,-5.5,997,166,,
2008,1,1,14,30,64,30,-6.9,0.8,0.5,24.49,-6.1,997,69,,
2008,1,1,15,30,16,0,-8,0.8,0.5,45.13,-7.2,996,16,,
2008,1,1,16,30,0,0,-9.2,0.8,0.5,39.42,-8,996,0,,
2008,1,1,17,30,0,0,-9.6,0.8,0.5,35.31,-8.3,995,0,,
2008,1,1,18,30,0,0,-9.7,0.8,0.6,34.68,-8.3,995,0,,
2008,1,1,19,30,0,0,-9.7,0.8,0.6,37.51,-8.3,993,0,,
2008,1,1,20,30,0,0,-9.8,0.8,0.8,40.97,-8.4,992,0,,
2008,1,1,21,30,0,0,-9.9,0.8,1,42.07,-8.4,990,0,,
2008,1,1,22,30,0,0,-10,0.8,1.2,43.33,-8.5,988,0,,
2008,1,1,23,30,0,0,-10.1,0.8,1.4,44.15,-8.6,987,0,,
2008,1,2,0,30,0,0,-10.3,0.8,1.4,44.77,-8.8,986,0,,
2008,1,2,1,30,0,0,-10.6,0.8,1.5,45.23,-9.1,985,0,,
2008,1,2,2,30,0,0,-10.9,0.8,1.6,45.79,-9.4,984,0,,
2008,1,2,3,30,0,0,-11.3,0.8,1.7,46.57,-9.7,984,0,,
2008,1,2,4,30,0,0,-11.6,0.8,1.7,47.46,-9.9,983,0,,
2008,1,2,5,30,0,0,-11.7,0.8,1.9,52.47,-9.9,983,0,,
2008,1,2,6,30,0,0,-11.7,0.8,2,53.77,-10,983,0,,
2008,1,2,7,30,7,0,-11.9,0.8,2,52.11,-10.2,983,7,,
2008,1,2,8,30,56,63,-12.1,0.8,2.1,49.41,-10.4,984,66,,
2008,1,2,9,30,93,9,-12.4,0.8,2.2,38.33,-10.9,985,95,,
2008,1,2,10,30,118,12,-13.1,0.8,2.4,31.63,-11.5,986,122,,
2008,1,2,11,30,130,17,-13.9,0.8,2.4,29.05,-12.2,987,136,,
2008,1,2,12,30,127,27,-14.7,0.8,2.3,27.21,-12.8,988,136,,
2008,1,2,13,30,105,224,-15.4,0.8,2.2,27.32,-13.5,989,166,,
2008,1,2,14,30,47,655,-16.2,0.8,2.1,29.5,-14.4,990,163,,
2008,1,2,15,30,20,376,-17.4,0.8,2,43.17,-15.6,992,39,,
2008,1,2,16,30,0,0,-18.8,0.8,2,42.13,-16.7,993,0,,
2008,1,2,17,30,0,0,-19.9,0.8,1.9,39.36,-17.5,994,0,,
2008,1,2,18,30,0,0,-20.6,0.8,1.9,41.81,-17.8,995,0,,
2008,1,2,19,30,0,0,-21.1,0.8,2,41.71,-18.4,996,0,,
2008,1,2,20,30,0,0,-21.5,0.8,2,41.83,-18.8,996,0,,
2008,1,2,21,30,0,0,-22,0.8,2,42.12,-19.2,997,0,,
2008,1,2,22,30,0,0,-22.3,0.8,2,45.79,-19.5,998,0,,
2008,1,2,23,30,0,0,-22.6,0.8,1.9,45.86,-19.6,998,0,,
2008,1,3,0,30,0,0,-22.8,0.8,1.9,46.06,-19.8,999,0,,
2008,1,3,1,30,0,0,-22.8,0.8,1.8,46.43,-19.8,1001,0,,
2008,1,3,2,30,0,0,-22.9,0.8,1.8,47.4,-19.9,1001,0,,
2008,1,3,3,30,0,0,-23,0.8,1.7,48.48,-20,1002,0,,
2008,1,3,4,30,0,0,-23.1,0.8,1.7,49.56,-20.1,1003,0,,
2008,1,3,5,30,0,0,-23.2,0.8,1.7,50.57,-20.3,1004,0,,
2008,1,3,6,30,0,0,-23.4,0.8,1.7,51.52,-20.4,1005,0,,
2008,1,3,7,30,13,312,-23.5,0.8,1.8,49.8,-20.4,1006,21,,
2008,1,3,8,30,38,701,-23.3,0.8,1.8,48.38,-20.1,1007,146,,
2008,1,3,9,30,52,846,-23,0.8,1.8,39.52,-19.7,1008,269,,
2008,1,3,10,30,59,910,-22.4,0.8,1.8,33.1,-19.2,1008,354,,
2008,1,3,11,30,62,930,-21.9,0.8,1.8,29.15,-18.8,1008,387,,
2008,1,3,12,30,61,915,-21.6,0.8,1.8,26.87,-18.6,1009,366,,
2008,1,3,13,30,54,867,-21.4,0.8,1.7,25.1,-18.5,1010,292,,
2008,1,3,14,30,41,748,-21.5,0.8,1.5,31.49,-18.7,1011,175,,
2008,1,3,15,30,20,444,-21.8,0.8,1.2,52.45,-19,1011,44,,
2008,1,3,16,30,0,0,-22.2,0.8,1,55.26,-19.5,1012,0,,
2008,1,3,17,30,0,0,-22.8,0.8,0.8,55.65,-20.6,1013,0,,
2008,1,3,18,30,0,0,-24.3,0.8,0.7,59.43,-21.4,1013,0,,
2008,1,3,19,30,0,0,-27.1,0.8,0.6,61.77,-25.4,1012,0,,
2008,1,3,20,30,0,0,-29.8,0.8,0.7,59.05,-27.3,1012,0,,
2008,1,3,21,30,0,0,-30.9,0.8,0.7,62.44,-28,1011,0,,
2008,1,3,22,30,0,0,-31.1,0.8,0.7,67.03,-28.1,1010,0,,
2008,1,3,23,30,0,0,-31.1,0.8,0.7,67.3,-27.9,1010,0,,
2008,1,4,0,30,0,0,-30.7,0.8,0.7,72.89,-27,1010,0,,
2008,1,4,1,30,0,0,-29.2,0.8,0.6,73.17,-25.2,1009,0,,
2008,1,4,2,30,0,0,-27.3,0.8,0.6,73.17,-23.5,1009,0,,
2008,1,4,3,30,0,0,-26,0.8,0.6,68.02,-22.5,1008,0,,
2008,1,4,4,30,0,0,-25.1,0.8,0.9,68.26,-21.7,1007,0,,
2008,1,4,5,30,0,0,-24.5,0.8,1.2,68.78,-21.2,1006,0,,
2008,1,4,6,30,0,0,-24,0.8,1.3,63.81,-20.8,1004,0,,
2008,1,4,7,30,10,0,-23.5,0.8,1.4,59.96,-19.8,1004,10,,
2008,1,4,8,30,57,94,-22,0.8,1.6,53.74,-17.8,1003,71,,
2008,1,4,9,30,102,149,-19.2,0.8,1.7,41.27,-15.3,1002,140,,
2008,1,4,10,30,115,4,-16.4,0.8,1.5,35.99,-13,1002,117,,
2008,1,4,11,30,147,146,-13.8,0.8,1.4,30.24,-10.9,1001,199,,
2008,1,4,12,30,117,2,-11.7,0.8,1.4,26.41,-9.3,1000,118,,
2008,1,4,13,30,106,35,-10.3,0.8,1.3,26.05,-8.4,1000,116,,
2008,1,4,14,30,68,101,-9.7,0.8,1,28.34,-8.3,1000,87,,
2008,1,4,15,30,24,276,-10,0.8,0.9,44.9,-8.9,1000,40,,
2008,1,4,16,30,0,0,-10.8,0.8,0.8,43.94,-9.4,1001,0,,
2008,1,4,17,30,0,0,-11,0.8,0.8,41.73,-9.7,1001,0,,
2008,1,4,18,30,0,0,-11.1,0.8,0.8,47.2,-9.8,1001,0,,
2008,1,4,19,30,0,0,-11.2,0.8,0.8,50.19,-9.7,1001,0,,
2008,1,4,20,30,0,0,-10.9,0.8,0.8,49.65,-9.4,1002,0,,
2008,1,4,21,30,0,0,-10.3,0.8,0.8,52.99,-8.9,1001,0,,
2008,1,4,22,30,0,0,-9.8,0.8,0.8,52.6,-8.6,1001,0,,
2008,1,4,23,30,0,0,-9.6,0.8,0.8,52.35,-8.5,1001,0,,
2008,1,5,0,30,0,0,-9.4,0.8,0.8,56.39,-8.4,1002,0,,
2008,1,5,1,30,0,0,-9.4,0.8,0.8,56.54,-8.4,1002,0,,
2008,1,5,2,30,0,0,-9.6,0.8,0.8,56.91,-8.9,1002,0,,
2008,1,5,3,30,0,0,-10.5,0.8,0.7,61.78,-10,1002,0,,
2008,1,5,4,30,0,0,-12,0.8,0.7,62.19,-11.6,1003,0,,
2008,1,5,5,30,0,0,-13.9,0.8,0.7,62.4,-12.9,1004,0,,
2008,1,5,6,30,0,0,-15,0.8,0.7,62.35,-13.7,1004,0,,
2008,1,5,7,30,8,0,-15.6,0.8,0.7,54.73,-13.2,1004,8,,
2008,1,5,8,30,46,582,-14,0.8,0.6,49.74,-10.8,1005,136,,
2008,1,5,9,30,64,726,-10.8,0.8,0.6,40.26,-8.2,1005,252,,
2008,1,5,10,30,78,779,-8.6,0.8,0.6,30.7,-6.4,1005,332,,
2008,1,5,11,30,84,787,-7,0.8,0.6,25.72,-5.2,1004,362,,
2008,1,5,12,30,122,8,-5.9,0.8,0.7,22.9,-4.5,1004,124,,
2008,1,5,13,30,42,0,-5.4,0.8,0.6,21.12,-4.3,1004,42,,
2008,1,5,14,30,47,0,-5.4,0.8,0.5,23.22,-4.8,1004,47,,
2008,1,5,15,30,20,0,-6.4,0.8,0.5,41.48,-5.8,1004,20,,
2008,1,5,16,30,0,0,-7.5,0.8,0.6,49.55,-6.3,1004,0,,
2008,1,5,17,30,0,0,-7.6,0.8,0.6,48.63,-6.3,1003,0,,
2008,1,5,18,30,0,0,-7.5,0.8,0.6,52.02,-6.3,1003,0,,
2008,1,5,19,30,0,0,-7.5,0.8,0.6,51.29,-6.3,1003,0,,
2008,1,5,20,30,0,0,-7.4,0.8,0.6,50.22,-6.1,1002,0,,
2008,1,5,21,30,0,0,-7.2,0.8,0.6,53.18,-5.9,1002,0,,
2008,1,5,22,30,0,0,-7,0.8,0.7,52.6,-5.9,1001,0,,
2008,1,5,23,30,0,0,-7,0.8,0.7,56.47,-6,1000,0,,
2008,1,6,0,30,0,0,-7.4,0.8,0.7,56.39,-6.4,1000,0,,
2008,1,6,1,30,0,0,-7.8,0.8,0.6,56.4,-6.7,999,0,,
2008,1,6,2,30,0,0,-8.1,0.8,0.6,57,-7,999,0,,
2008,1,6,3,30,0,0,-8.3,0.8,0.6,58.13,-7.4,999,0,,
2008,1,6,4,30,0,0,-9,0.8,0.6,59.34,-7.9,999,0,,
2008,1,6,5,30,0,0,-9.5,0.8,0.6,60.41,-8.3,999,0,,
2008,1,6,6,30,0,0,-10,0.8,0.6,56.6,-8.9,999,0,,
2008,1,6,7,30,5,0,-10.6,0.8,0.7,53.7,-8.3,999,5,,
2008,1,6,8,30,52,463,-8.8,0.8,0.8,47.5,-6.3,999,125,,
2008,1,6,9,30,76,621,-6.1,0.8,0.9,36.74,-3.9,999,238,,
2008,1,6,10,30,103,0,-3.6,0.8,0.9,30.38,-1.8,999,103,,
2008,1,6,11,30,57,0,-1.5,0.8,0.9,29.33,-0.3,999,57,,
2008,1,6,12,30,53,0,-0.5,0.8,0.7,29.34,0.3,999,53,,
2008,1,6,13,30,33,0,0,0.8,0.5,30.51,0.5,999,33,,
2008,1,6,14,30,34,0,0.1,0.8,0.5,33.13,0.5,1000,34,,
2008,1,6,15,30,25,273,-0.2,0.8,0.5,44.11,-0.2,1000,41,,
2008,1,6,16,30,0,0,-1.4,0.8,0.6,59.6,-1.4,1001,0,,
2008,1,6,17,30,0,0,-2.4,0.8,0.6,59.28,-2.2,1001,0,,
2008,1,6,18,30,0,0,-3,0.8,0.7,56.52,-2.5,1001,0,,
2008,1,6,19,30,0,0,-3.2,0.68,0.6,54.56,-2.7,1002,0,,
2008,1,6,20,30,0,0,-3.2,0.68,0.5,53.61,-2.5,1002,0,,
2008,1,6,21,30,0,0,-2.9,0.68,0.5,57.54,-2.2,1002,0,,
2008,1,6,22,30,0,0,-2.7,0.68,0.6,62.19,-2,1001,0,,
2008,1,6,23,30,0,0,-2.4,0.68,0.6,62.6,-1.7,1001,0,,
2008,1,7,0,30,0,0,-2.2,0.68,0.8,62.86,-1.4,1001,0,,
2008,1,7,1,30,0,0,-1.8,0.68,0.9,67.72,-1.1,1001,0,,
2008,1,7,2,30,0,0,-1.5,0.68,1,72.83,-0.8,1001,0,,
2008,1,7,3,30,0,0,-1.3,0.68,1,78.14,-0.6,1000,0,,
2008,1,7,4,30,0,0,-1.1,0.68,1.1,77.81,-0.4,1000,0,,
2008,1,7,5,30,0,0,-0.8,0.68,1.2,77.44,-0.2,1000,0,,
2008,1,7,6,30,0,0,-0.6,0.68,1.2,71.55,0,999,0,,
2008,1,7,7,30,7,0,-0.5,0.68,1.3,62.01,0.1,999,7,,
2008,1,7,8,30,39,0,-0.2,0.68,1.3,55.18,0.3,999,39,,
2008,1,7,9,30,59,0,0,0.68,1.3,45.41,0.5,999,59,,
2008,1,7,10,30,85,0,0.1,0.68,1.3,37.66,0.6,998,85,,
2008,1,7,11,30,96,0,0.2,0.68,1.4,32.93,0.7,997,96,,
2008,1,7,12,30,105,0,0.2,0.68,1.3,28.32,0.7,996,105,,
2008,1,7,13,30,88,0,0.2,0.68,1.1,25.83,0.7,996,88,,
2008,1,7,14,30,38,0,0.2,0.68,1,27.35,0.6,996,38,,
2008,1,7,15,30,16,0,0.2,0.68,0.8,38.93,0.6,997,16,,
2008,1,7,16,30,0,0,0.2,0.68,0.7,55.1,0.6,997,0,,
2008,1,7,17,30,0,0,0.2,0.68,0.7,56.68,0.7,998,0,,
2008,1,7,18,30,0,0,0.2,0.68,0.6,54.96,0.7,998,0,,
2008,1,7,19,30,0,0,0.3,0.65,0.6,58.23,0.8,998,0,,
2008,1,7,20,30,0,0,0.3,0.65,0.5,58.31,0.8,998,0,,
2008,1,7,21,30,0,0,0.3,0.65,0.5,59.02,0.8,998,0,,
2008,1,7,22,30,0,0,0.3,0.65,0.5,64.05,0.7,997,0,,
2008,1,7,23,30,0,0,0.2,0.65,0.4,64.18,0.4,997,0,,
2008,1,8,0,30,0,0,-0.3,0.65,0.4,64.11,0.2,997,0,,
2008,1,8,1,30,0,0,-0.5,0.65,0.4,63.97,0.2,997,0,,
2008,1,8,2,30,0,0,-0.2,0.65,0.6,63.78,0.5,996,0,,
2008,1,8,3,30,0,0,0.2,0.65,1,64.7,0.7,995,0,,
2008,1,8,4,30,0,0,0.3,0.65,1.2,66.62,0.8,994,0,,
2008,1,8,5,30,0,0,0.3,0.65,1,68.65,0.7,994,0,,
2008,1,8,6,30,0,0,0.3,0.65,1,70.43,0.8,994,0,,
2008,1,8,7,30,6,0,0.4,0.65,0.9,71.89,0.8,994,6,,
2008,1,8,8,30,49,464,0.3,0.65,0.7,70.11,0.7,994,122,,
2008,1,8,9,30,43,0,0.3,0.65,0.7,65.2,0.7,994,43,,
2008,1,8,10,30,78,704,0.3,0.65,0.6,63.94,0.7,994,311,,
2008,1,8,11,30,107,0,0.3,0.65,0.5,58.21,0.7,994,107,,
2008,1,8,12,30,16,0,0.3,0.65,0.5,53.73,0.7,994,16,,
2008,1,8,13,30,15,0,0.4,0.65,0.4,53.5,0.8,995,15,,
2008,1,8,14,30,10,0,0.4,0.65,0.5,53.17,0.8,995,10,,
2008,1,8,15,30,12,0,0.4,0.65,0.5,56.74,0.8,995,12,,
2008,1,8,16,30,0,0,0.4,0.65,0.5,68.59,0.8,995,0,,
2008,1,8,17,30,0,0,0.3,0.65,0.4,70.73,0.9,995,0,,
2008,1,8,18,30,0,0,0.3,0.65,0.4,68.91,1,995,0,,
2008,1,8,19,30,0,0,0.4,0.65,0.4,72,1.3,994,0,,
2008,1,8,20,30,0,0,0.4,0.65,0.4,75.9,1.3,994,0,,
2008,1,8,21,30,0,0,0.3,0.65,0.5,80.89,1.4,994,0,,
2008,1,8,22,30,0,0,0.3,0.65,0.6,80.61,1.4,993,0,,
2008,1,8,23,30,0,0,0.2,0.65,0.5,80.65,1.2,992,0,,
